bookID,isbn,title,authors,categories,published_year,average_rating,num_pages,ratings_count
1,2005883,Gilead,Marilynne Robinson,Fiction,2004,3.85,247,361
2,2261987,Spider's Web,Charles Osborne;Agatha Christie,Detective and mystery stories,2000,3.83,241,5164
3,6163831,The One Tree,Stephen R. Donaldson,American fiction,1982,3.97,479,172
4,6178731,Rage of angels,Sidney Sheldon,Fiction,1993,3.93,512,29532
5,6280897,The Four Loves,Clive Staples Lewis,Christian life,2002,4.15,170,33684
6,6280935,The Problem of Pain,Clive Staples Lewis,Christian life,2002,4.09,176,37569
7,6353282,An Autobiography,Agatha Christie,"Authors, English",1977,4.27,560,3975
8,6380832,Empires of the Monsoon,Richard Hall,"Africa, East",1998,4.41,608,65
9,6647022,The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",1994,4.15,743,103
10,6472613,Master of the Game,Sidney Sheldon,Adventure stories,1982,4.11,489,43540
11,6479677,If Tomorrow Comes,Sidney Sheldon,Adventure stories,1994,4.04,501,49170
12,6480098,Assassin's Apprentice,Robin Hobb,American fiction,1996,4.15,460,133972
13,6482074,Warhost of Vastmark,Janny Wurts,Fiction,1995,4.03,522,2966
14,6483011,The Once and Future King,Terence Hanbury White,Arthurian romances,1996,4.04,823,2805
15,6483895,Murder in LaMut,Raymond E. Feist;Joel Rosenberg,Adventure stories,2003,3.7,337,5083
16,6483909,Jimmy the Hand,Raymond E. Feist;S. M. Stirling,Fantasy fiction,2003,3.95,368,5579
17,6486142,Well of Darkness,Margaret Weis;Tracy Hickman,,2001,3.66,599,68
18,6490450,Witness for the Prosecution & Selected Plays,Agatha Christie,English drama,1995,4.05,352,3908
19,6496431,The Little House,Philippa Gregory,Country life,1998,3.66,368,1832
20,6496873,Mystical Paths,Susan Howatch,English fiction,1996,4.23,576,1023
21,6496890,Glittering Images,Susan Howatch,English fiction,1996,4.07,512,2045
22,6496920,Glamorous Powers,Susan Howatch,Clergy,1996,4.2,512,1441
23,6498868,The Mad Ship,Robin Hobb,Fantasy fiction,2000,4.24,906,36101
24,6499163,Post Captain,Patrick O'Brian,"Aubrey, Jack (Fictitious character)",1996,4.29,474,7815
25,6499260,The Reverse of the Medal,Patrick O'Brian,Adventure stories,1997,4.41,261,177
26,6499627,Miss Marple,Agatha Christie,"Detective and mystery stories, English",1997,4.2,359,6235
27,6511481,The Years of Rice and Salt,Kim Stanley Robinson,Black Death,2003,3.73,772,194
28,6512674,Spares,Michael Marshall Smith,Human cloning,1998,4.13,317,2481
29,6513085,Gravity,Tess Gerritsen,Science fiction,2004,4.04,342,8024
30,6514642,The Wise Woman,Philippa Gregory,Great Britain,2002,3.31,640,6583
31,6514855,Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,American fiction,2000,3.26,586,140
32,6545866,The White Album,Joan Didion,American essays,1993,4.17,224,91
33,6550436,The Bonesetter's Daughter,Amy Tan,China,2001,3.98,352,414
34,6551394,The Lexus and the Olive Tree,Thomas L. Friedman,Capitalism,2000,3.59,352,87
35,6551815,'Tis,Frank McCourt,Ireland,2000,3.68,495,44179
